"Id","Name","StreetAddress","PostalCode","Locality","Region","Country","PhoneNumber","Email"
38,"Orange County BC","1432 N. Main St","92867","Orange","CA","U.S.A.","1-714-6396222","OCBCmail@aol.com"
39,"Durham College","","","Oshawa","Ontario","Canada","",""
40,"Athletic Centre (U of T)","55 Harbord Street","","Toronto","Ontario","Canada","",""
41,"Manhattan Beach Badminton Club","516 - 18th Street","90266","Manhattan Beach","CA","U.S.A.","",""
42,"LABC","10410 Valley Blvd.","91731","El Monte","CA","","(626)279-9919","info@labadmintonclub.com"
43,"Athletic Centre (University of Toronto)","55 Harbord Street","","Toronto","Ontario","Canada","",""
44,"ZBTC","33540 Central Ave","94587","Union City (San Franscisco)","CA","U.S.A.","510-487-9282","widmeister@yahoo.com"
45,"Athletic Centre","55 Harbord Street","","Toronto","Ontario","Canada","",""
46,"Maverick Activities Center, University of Texas at Arlington","500 W. Nedderman Drive","76019","Arlington","Texas","U.S.A.","817-272-3277","deepak_kamath@yahoo.com"
47,"CP Badminton Club(CPBC)","20-24 119th Street","11356","College Point","New York","U.S.A.","347-368-4124","tournament@cpbadminton.com"
48,"Nicosia","","","Nicosia","","Cyprus","",""
49,"UCLA","220 Westwood Plaza","90095","Los Angeles","CA","U.S.A.","714.230.5105","bruinopen@gmail.com"
50,"KBC","1090 Richter Kelowna","","Kelowna","BC","Canada","",""
51,"Shula's Athletic Club","15150 Bull Run Road","33014","Miami Lakes","Florida","U.S.A.","","play@miamipanam.com"
52,"Fonde Recreation Center","110 Sabine St.","77007","Houston","TX","U.S.A.","713-226-4466","houstonbadmintonclub@gmail.com"
53,"TAS Secondary School","1009 Armour Road North","","Peterborough","","Canada","",""
54,"Kerr Hall Gymnasium","","","Toronto","Ontario","Canada","",""
55,"Marblehead High School","","","Marblehead","MA","U.S.A.","",""
56,"Centennial Secondary School and Bayside Secondary School","160 Palmer Road Belleville 1247 Old Highway 2 between Belleville and Trenton","","Belleville","","Canada","",""
57,"Bellevue badminton club","13405 se 30th street Suite 1c","98005","Bellevue","Wa","U.S.A.","425-562-2950",""
58,"Coliseo municipal Tabio - Cundinamarca","Coliseo Tabio - Cundinamarca","","Tabio","Cundinamarca","Colombia","",""
59,"Broadway Armory","5917 N. Broadway St.","60660","Chicago","IL","U.S.A.","",""
60,"Falconer Center","Falkoner Alle 9","2200","Frederiksberg","","Denmark","",""
61,"Shula's Hotel & Golf Club","6842 Main Street","","Miami Lakes","FL","U.S.A.","305-820-8100","adriana.torres@donshulahotel.com"
62,"TASS High School","1009 Armour Road North","K9J 7B1","Peterborough","","Canada","",""
63,"Ryerson Kerr Hall Gymnasium","379 Victoria Street","","Toronto","Ontario","Canada","",""
64,"Elro Arena","Viborgvej/Fyensgade 1","8900","Randers","","Denmark","",""
65,"Fraser Heights Secondary School","16060 108th Avenue","","Surrey","BC","Canada","",""
66,"California Badminton Academy","46049 Warm Springs Boulevard","94539","Fremont","CA","U.S.A.","",""
67,"Kingston Collegiate & Vocational Institute","235 Frontenac St","K7L 3S7","Kingston","Ontario","Canada","(613) 544-4811 ext. 349","saundersm@limestone.on.ca"
68,"P. E. Society’s Modern PDMBA Sports Complex,","Off Jangli Maharaj Road,","","Pune","Maharashtra","India","+91 (20) 25535799","girishnatu@badmintonindia.org"
69,"JOHN BOWNE HS gym","63-25 Main Street","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
70,"University of Western Ontario","","","London","Ontario","Canada","",""
71,"Recreation & Athletic Centre","","","Toronto","ON","Canada","416-979-5096",""
72,"Parsippany PAL (Police Athletic League)","33 Baldwin Road","7054","Parsippany","NJ","U.S.A.","",""
73,"Affinity Badminton Club","403 Quarry Road","94070","San Carlos","CA","U.S.A.","",""
74,"Garrison Forest School","300 Garrison Forest Rd","21117","Owning Mills","MD","U.S.A.","",""
75,"MIT, Rockwell Cage","120 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
76,"ESPN/WIDE WORLD OF SPORT","","","Orlando","Florida","U.S.A.","",""
77,"Los Angeles Badminton Clib","10410 Valley Blvd","92731","El Monte","CA","U.S.A.","(626) 279-9919","info@labadmintonclub.com"
78,"Niwot High School","8989 Niwot Road","80503","Longmont","Colorado","U.S.A.","",""
79,"Bintang Badminton SSF","245 South Spruce Ave, Suite 700","","South San Francisco","CA","U.S.A.","650-624-0002",""
80,"Phoenixville YMCA","400 E. Pothouse Rd Phoenixville, PA 19460","","Phoenixville","PA","U.S.A.","",""
81,"CP Badminton Club (CPBC)","20-24 119th Street","11356","College Point","NY","U.S.A.","347-368-4124",""
82,"Boston Badminton Club","169 Flanders Rd","1581","Westborough","MA","U.S.A.","508-329-1710","info@bostonbadminton.com"
83,"San Gabriel Valley Badminton Club II","3410 Pomona Blvd","91768","Pomona","CA","","",""
84,"Los Angeles Badminton Club (LABC)","10410 Valley Blvd.","91731","El Monte","CA","U.S.A.","626-279-9919",""
85,"George R. Brown Convention Center","1001 Avenida de las Americas","77010-6099","Houston","TX","U.S.A.","",""
86,"JOHN BOWNE HS GYM","63-25 Main Street","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
87,"San Gabriel Valley Bamdinton Club II","3410 Pomona Blvd","Pomona","CA","","","",""
88,"Bay Badminton Center","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","",""
89,"UMASS Boston","100 Morrissey Blvd.","2125","Boston","MA","U.S.A.","",""
90,"UGA - Ramsey Center","300 River Road","30602","Athens","GA","U.S.A.","",""
91,"Richmond Oval,","611 River Road, Richmond , BC, V7C 0A2","V7C 0A2","Richmond","British Columbia","Canada","778 296 - 1400","badminton@badminton.ca"
92,"Cheyenne Mountain High School","1200 Cresta Road","80906","Colorado Springs","Colorado","U.S.A.","",""
93,"TBD","","","Richmond","BC","Canada","",""
94,"WEMBLEY ARENA","Arena Square","","London","","England","441908268400","anitasherwood@badmintonengland.co.uk"
95,"Z Badminton Training Center","33540 Central Avenue","94587","Union City","CA","U.S.A.","510-487-9282","info@zbadmintontrainingcenter.com"
96,"The Jacob K. Javits Convention Center of New York","655 West 34th Street","10001","New York","NY","U.S.A.","",""
97,"UT Arlington - Maverick Center","500 W.Nedderman Drive","76019","Arlington","TX","U.S.A.","214-906-7340","paulnibu@gmail.com"
98,"CP Badminton Club","20-24 119th Street","11356","College Point","NY","U.S.A.","347-368-4124",""
99,"Hickory Grove Elementary School","6709 Pence Road","","Charlotte","NC","U.S.A.","",""
100,"Cambie Secondary School","4151 Jacombs Road","V6V 1N7","Richmond","BC","Canada","",""
101,"University of Rochester","Robert B. Goergen Athletic Center at the University of Rochester Library Road (off of Joseph C. Wilson Blvd)","14627","Rochester","New York","U.S.A.","",""
102,"SGVBC 1","9255 Telstar Avenue","","El Monte","CA","","",""
103,"University of Toronto","55 Harbord Street","","Toronto","Ontario","Canada","905-429-0901","fabcoach@rogers.com"
104,"Bellevue Badminton Club","13405 se 30th street","98005","Bellevue","Wa","U.S.A.","425-562-2950","bellvuebadminton@gmail.com"
105,"High Performance Center","","","Caldas da Rainha","","Portugal","",""
106,"Fetzer Gym B, Student Recreation Center, UNC-Chapel Hill","101 Student Recreation Center Fetzer Gym B, Student Recreation Center","27599","Chapel Hill","NC","U.S.A.","410-258-8109","h.boy.cup@gmail.com"
107,"Confucius Institute","112 Swan Hall 60 Upper College Road","2881","Kinston","RI","U.S.A.","401-874-4792","uricimail@gmail.com"
108,"Bombay Gymkhana","","","Mumbai","Maharashtra","India","",""
109,"Boson Badminton Center","169 Flanders Road","","Westborough","MA","U.S.A.","(508) 329-1710","zhipingyou@hotmail.com"
110,"Bryn Mawr College - Schwartz Gym","New Gulph Rd & N. Roberts Rd","19010","Bryn Mawr","PA","U.S.A.","",""
111,"Moncton Coliseum Complex","377 Killam Drive, Unit 100","E1C 3T1","Moncton","NB","Canada","",""
112,"Babu Banarasi Das Indoor Stadium","U.P. Badminton Academy, Vipin Khand, (Behind Hotel Taj), Gomti Nagar,","226010","Lucknow","","India","+91-522-2615924","girishnatu@badmintonindia.org"
113,"Falkonersalen","Falkoner Alle 9","2000","Frederiksberg","","Denmark","",""
114,"North Gym, University of Maryland","SPH (Building number 255)","","College Park","MD","U.S.A.","",""
115,"BBC","13405 SE 30th St Suite 1C","98005","Bellevue","WA","U.S.A.","425-562-2950","bellevuebadminton@hotmail.com"
116,"Bintang South San Francisco","245 South Spruce Ave","94080","South San Francisco","California","U.S.A.","",""
117,"Bintang Badminton Academy - South San Francisco","245 South Spruce Ave","94080","South San Francisco","Ca","U.S.A.","650-624-0002",""
118,"Iþróttahúsið við Vesturgötu","Vesturgötu 130","300","Akranes","","Iceland","",""
119,"SGVBC Pomona","3410 Pomona Blvd","91768","Pomona","CA","U.S.A.","",""
120,"Kingston Collegiate & V. I.","235 Frontenac St.","K7L 3S7","Kingston","ON","Canada","(613) 544-4811","saundersm@limestone.on.ca"
121,"Seattle Badminton Club","10858, 117th Place NE","98033","Kirkland","WA","U.S.A.","425-889-5958","katherine@seattlebadminton.com"
122,"Íþróttamiðstöðin Þorlákshöfn","Hafnarberg","815","Þorlákshöfn","","Iceland","483-3807",""
123,"San Gabriel Valley Badminton Club I","9255 Telstar Ave","91731","El Monte","CA","","626-307-4650",""
124,"University of Rochester Georgen Gymnasium","Library Road (off of Joseph C. Wilson Blvd)","14627","Rochester","New York","U.S.A.","",""
125,"National Indoor Arena","PO Box 3348 Birmingham B40 1NS","","Birmingham","","England","",""
126,"United Badminton Club","43901 Boscell Road","94538","Fremont","CA","U.S.A.","510-656-2582","unitedbadmintonclub@gmail.com"
127,"Emory University","","","Atlanta","GA","U.S.A.","",""
128,"San Gabriel Valley Badminton Club 1","9255 Telstar Ave","91731","El Monte","CA","","626-307-4650",""
129,"Fetzer Gym B, University of North Carolina, Chapel Hill","Student Recreation Center 101 Student Recreation Center","27599","Chapel Hill","NC","U.S.A.","","southernopen2012@gmail.com"
130,"Rishon Le Zion Sport hall","herzel 123","","Rishon Le Zion","","Israel","","isra_bad@walla.com"
131,"Indian Club Bahrain","","","Manama","","Bahrain","9733007600","bbsf2006@hotmail.com"
132,"SPORT PAIS HALL","SHOHAM 1","","NEVE MONOSON","","Israel","054-7565636","RMOZS@WALLA.COM"
133,"Coral Reef Senior High School","10101 S.W. 152 Street","","Miami","Florida","U.S.A.","",""
134,"Orange County Badminton CLub","1432 North Main Street","92867","Orange","CA","U.S.A.","",""
135,"אולם הספורט מקיף ה","רח' הפרחים","","אשדוד","","Israel","",""
136,"University of Central Oklahoma- Wellness Center","100 N. University Drive","73034","Edmond","Oklahoma","U.S.A.","+1(405)474-9618","wldarren@gmail.com"
137,"Siri Fort Indoor Stadium","Siri Fort Complex, Siri Fort Road","","New Delhi","","India","+91 87502 03777","puritej@yahoo.co.in"
138,"Rockwell Cage, MIT","120 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
139,"University of Arizona Student Recreation Center","1400 E 6TH ST","85721","Tucson","AZ","U.S.A.","520-626-3396",""
140,"hamoshava sport hall","","","zichron yakov","","Israel","",""
141,"Bay Badminton Training Academy","1611 Adrian Rd.","94010","Burlingame","CA","U.S.A.","(650) 692 - 1611","info@baybadminton.com"
142,"Texins - Texas Instruments","13900 North Central Expressway","75243","Dallas","TX","U.S.A.","214.567.3777",""
143,"Male Sports Complex","","","Male","","Maldives","",""
144,"Badminton Center Court","3699 Industry Avenue","90712","Lakewood","California","U.S.A.","15624269299","tranining@thecentercourt.com"
145,"LUGOGO INDOOR STADIUM","LUGOGO - KAMPALA","256","KAMPALA","","Uganda","+256 772 411 724","Ncsuga@infocon.co.ug"
146,"Auckland Badminton Stadium","99 Gillies Avenue Epsom","","Auckland","","New Zealand","6495440872","jack@auckbad.co.nz"
147,"Boston Badminton Center","169 Flanders Road","","Westborough","MA","U.S.A.","(508) 329-1710","info@bostonbadminton.com"
148,"International Badminton Center","3775 Park Ave","8820","Edison","NJ","U.S.A.","917-626-8946","info@ibcusa.org"
149,"","4651 Britt Road Lucky Shoals Park","30093","Norcross","GA","U.S.A.","678.277.0860",""
150,"Richmond Olympic Oval","611 River Road, Richmond , BC","V7C 0A2","Richmond","","Canada","",""
151,"Ryerson University","379 Victoria Street","","Toronto","Ontario","Canada","","ryersonopen@gmail.com"
152,"Robinson S.S. Gym","5035 Sideburn Road","22032","Fairfax","VA","U.S.A.","",""
153,"SGVBC II POMONA","3410 Pomona Blvd.","91768","Pomona","CA","","(909) 8391939",""
154,"Millennium Place","2000 Premier Way","T8H 2G4","Sherwood Park","AB","Canada","780.464-8244",""
155,"Phan Dinh Phung Stadium","8 Vo Van Tan Street, District3,","","Ho Chih Minh","","Vietnam","+848 - 38208773","hcmba@vnn.vn"
156,"LBCC Main Gym","4901 East Carson Street","90808","Long Beach","CA","U.S.A.","",""
157,"Community Centre ""Wzgorze Zamkowe""","Norwida Street 10","59-300","Lubin","","Poland","",""
158,"Polideportivo Las Delicias Gimnasio Mauricio Johnson","Av. Las Delicias Estado Aragua","2101","Maracay","","Venezuela","5804262202036 - 5804127165265 - 5804241679690","volante.raqueta.red@gmail.com"
159,"Maverick Activities Center - UTA","500 W Nedderman St","76013","Arlington","Texas","U.S.A.","817-272-3277",""
160,"P. E. Society’s Modern PDMBA Sports Complex","Modern High School Premises","411005","PUNE","MAHARASHTRA","India","+91 20 25535799",""
161,"Sportova hala PU Presov","Sportova 10","080 01","Presov","","Slovakia","",""
162,"San Gabriel Valley Badminton 2","3410 Pomona Blvd","91768","Pomona","CA","","909-939-1939",""
163,"Olympic Sports Center Xincheng Gymnasium","NO.1 Jinling North Road","","Changzhou","","China","",""
164,"Sportoase","Philipssite Leuven 6","3000","Leuven","","Belgium","","bart@badmintonvlaanderen.be"
165,"Bond Park Community Center","","","Cary","NC","U.S.A.","",""
166,"NJ Badminton Club","2 Changebridge Rd., East Bldg, Units JKL","7045","Montville","NJ","U.S.A.","201-572-4993","Wallace.Lee@njbadminton.com"
167,"Tokyo Yoyogi Gymnasium","2-1-1 Jin'nan, Shibuya-ku 150-0041","","Tokyo","","Japan","",""
168,"Gimnasio Polideportivo CENARD","Crisologo Larralde 1050","","Capital Federal","Buenos Aires","Argentina","",""
169,"Sport Palace Lokomotiv","Kotlova st. 90","61052","Kharkov","","Ukraine","+380 57724 0990","circuit@badmintoneurope.com"
170,"Salle ""La Préalle""","Reu Emile Muraille 158","4040","Herstal","Liège","Belgium","++32 4 368 63 09","belgianjunior@lfbb.be"
171,"GOR P.S.C.C","Jl. POM IX no. 1","","Palembang","","Indonesia","",""
172,"Club Athlético Paulistano","Rua Colombia 77","","São Paulo","São Paulo","Brazil","",""
173,"City Sports Hall Vodova","Vodova 108","612 00","Brno","","Czech Republic","","circuit@badmintoneurope.com"
174,"Richmond Pro Badminton Centre","Unit 130 - 5800 Minoru Boulevard","","Richmond","British Columbia","Canada","",""
175,"Centre de badminton","Viaduc 12","1008","Prilly","Vaud","Switzerland","+41 21 6242221","info@cak-sport.ch"
176,"Hsing Chuang Gymnasium","No. 70, Chung Hwa Road, Hsingchuang","","New Taipei City","","Chinese Taipei","",""
177,"Sofia Hall - Borisova Garden","Borisova Garden","1040","Sofia","","Bulgaria","","circuit@badmintoneurope.com"
178,"Topsportcentrum Almere,","","","Almere","","Netherlands","+31 525683184",""
179,"Dongguan Badminton School","Shuilian Road","","Dongguan","Guangdong","China","8676923668889","lybibsofficial@sina.cn"
180,"Gentofte Badminton Klub","Ved Stadion 4","DK-2820","Gentofte","","Denmark","+45 3965 0400","gbk@gbk.dk"
181,"Arat Kilo Sports & Education Centre","","","Addis Ababa","","Ethiopia","",""
182,"Baldoyle Badminton Centre","Grange Road","","Dublin 13","","Ireland","","circuit@badmintoneurope.com"
183,"vasil levski","","","Pazardhzik","","Bulgaria","",""
184,"אולם ספורט אבני חושן","אולם ספורט אבני חושן 31.982371,34.773054","","RISHON LE ZION","","Israel","",""
185,"Centre Sportive Salle Omnisport des Isles","avenue des trois lacs 1","1400","Yverdon-les-Bains","","Switzerland","","circuit@badmintoneurope.com"
186,"STADE PIERRE DE COUBERTIN","82, AVENUE GEORGES LAFONT","75016","Paris","","France","",""
187,"Cambie Secondary","4151 Jacombs Road","","Richmond","BC","Canada","",""
188,"Arcadia Badminton Club","12336 Lower Azusa Rd.","91006","Arcadia","CA","","",""
189,"Goergen Athletic Center","Library Road","14627","Rochester","NY","U.S.A.","",""
190,"Saarlandhalle","","","Saarbrucken","Germany","Germany","",""
191,"Shula´s Athletic Badminton Club","Miami Lakes","","Miami Lakes","","U.S.A.","1-954-324 7155","play@flabadminton.org"
192,"Budaörs Sportshall","Hársfa u. 6","2040","Budaörs","","Hungary","","circuit@badmintoneurope.com"
193,"TBR - Badminton Hall","Gnodavogi 1","104","Reykjavik","","Iceland","+354 581 2266","circuit@badmintoneurope.com"
194,"Yuan Shen Gymanisum","No888, Taolin Road ,","","Shanghai","","China","",""
195,"City Sporthall Orlová","Masarykova 1313","735 14","Orlová - Lutyně","","Czech Republic","+ 420 596 511 102",""
196,"Hong Kong Coliseum","9 Cheong Wan Road ,","","Hong Kong","","Hong Kong","",""
197,"Emirates Arena","1000 London Road","G40 3HY","Glasgow","","Scotland","","circuit@badmintoneurope.com"
198,"Macau Forum","","","Macau","","Macau","",""
199,"Sport Wales National Centre","Sophia Gardens","CF11 9SW","Cardiff","","Wales","","circuit@badmintoneurope.com"
200,"Badminton Center Court Inc.","3699 Industry Avenue","90712","Lakewood","California","U.S.A.","562-426-9299","training@thecentercourt.com"
201,"AVNY HA HOSHEN SPORT HALL","אולם ספורט אבני חושן","","RISHON LE ZION","","Israel","",""
202,"LEE YONG DAE Stadium","512-1 Daeri Hwasun -eup,","","Hwasun - gun,","","Korea","",""
203,"Hwasun Indoor Stadium","512-1 Daeri","","Jeonnam","","Korea","8224226173","badmin98@chol.com"
204,"Indain Club","","","Manama","Bahrain","Bahrain","97333007600","bbsf2006@hotmail.com"
205,"MTN Arena","Lugogo Sports Ground","","Kampala","","Uganda","",""
206,"Shenzhen Bay","ShenZhen","","Shenzhen","Guangdong","China","",""
207,"Cricket Club of India (Mumbai)","Brabourne Stadium Dinshaw Vachha Road Churchgate","400020","Mumbai","","India","919822084688","indiaic@badmintonindia.org"
208,"Falconer Salen","Falkoner Alle 9","2000","København","Danmark","Denmark","+45 38 15 80 01",""
209,"SK Handball Stadium (Olympic Gymnasium 2)","88-2 Bangi-dong","","Seoul","","Korea","+82 2 410 1683",""
210,"Tallin City","Sports Hall Kalev 12 Juhkentali Street","","Tallinn","","Estonia","",""
211,"School of Public Health UMD","University of Maryland, College Park Maryland, 20742","","College Park","MD","U.S.A.","","badterpsminton@gmail.com"
212,"Eriksdalshallen","Ringvägen 70","SE-118 61","Stockholm","","Sweden","",""
213,"‘’Evangelos Florakis’’ Sports Hall","Makarios Sport Centre Av. Engomi","2400","Nicosia","","Cyprus","",""
214,"Arcadia Badminton Court","12336 Lower Azusa","","Arcadia","CA","","",""
215,"Los Angeles Badminton Club","10410 Valley Boulevard","91731","El Monte","CA","U.S.A.","",""
216,"Arcadia Badminton Clun","12336 Lower Azusa Rd","","Arcadia","California","","",""
217,"Wiener Stadthalle","Vogelweidplatz 14","1150","Wien","","Austria","+43 6502843434",""
218,"Lugogo Indoor Stadium","National Council of Sports P.O. Box 20077","","Kampala","","Uganda","+256 (414) 254 477",""
219,"RWE - Sporthalle","An den Sportstätten 6","45468","Mülheim an der Ruhr","","Germany","",""
220,"The National Indoor Arena","King Edward's Road","B1 2AA","Birmingham","","England","",""
221,"LOS ANGELES BADMINTON CLUB (LABC)","10410 Valley Blvd","91731","El Monte","CA","","626-279-9919","labadminton@gmail.com"
222,"City Sports Hall","123 Hertzel St.","","Rishon Le Zion","","Israel","",""
223,"Banu Sport - Sports Hall","33 Ripensia Street","300585","Timisoara","","Romania","+40 256 220 642","secr.gen@badminton.ro"
224,"Singapore Badminton Hall","No. 1 Lorong 23 Geylang","388352","Singapore","Singapore","Singapore","",""
225,"Sport hal 'Arena Ursynow'","Pileckiego Street 122","00-195","Warsaw","","Poland","","sekretariat@pzbad.pl"
226,"Hanoi Stadium","No. 12 Trinh Hoai Duc Str, Dong Da Dis","","Hanoi","","Vietnam","+84 4 37185346","hanoiba_vn@yahoo.com.vn"
227,"Palais des sports","rue Eugene vignat","45000","Orléans","","France","",""
228,"Sydney Convention & Exhibition Centre","Darling Harbour","","Sydney","NSW","Australia","",""
229,"Energia Areena","Rajatorpantie 23","FIN-01600","Vantaa","","Finland","+358 10 633 0303","finnish.open@badminton.fi"
230,"University of Central Oklahoma - Wellness Center","100 N. University Drive","73034","Edmond","Oklahoma","U.S.A.","",""
231,"NERRC","7501 Oakleigh Rd","","Parkville, MD 21234","","U.S.A.","443-857-4744","shingles@jhu.edu"
232,"Coliseo Manuel Bonilla","Miraflores, Lima - Perú","","Lima","","Peru","+ (51) 988 895 843","badmintonperu@gmail.com"
233,"Dom Sportova","Trg Kresimira Cosica 11","10000","Zagreb","","Croatia","+385 1 3650 333",""
234,"Taipei Arena","No 2 Sec 4","","Taipei","","Chinese Taipei","+886 2 25783536","chntpe.ba@msa.hinet.net"
235,"VELO-hal","Noordweg 26","","Wateringen","","Netherlands","","yonexdutchinternational@badminton.nl"
236,"Badminton Center Court (BCC)","3699 Industry Avenue $25 for 1 event; $45 for 2 events $55 for 3 events","90712","Lakewood","California","U.S.A.","562-426-9299","andytran1011@yahoo.com"
237,"Kingston CVI","235 Frontenac St.","","Kingston","Ontario","Canada","(613) 544-4811 ext. 349","saundersm@limestone.on.ca"
238,"San Gabriel Valley Badminton Club #2","3410 Pomona Blvd","91768","Pomona","CA","","626-307-4650","sgvbctournament@yahoo.com"
239,"Arena Nord","Rimmens Allé 37","9900","Frederikshavn","","Denmark","",""
240,"Sport Hall Medvode","Ostrovrharjeva 4","1215","Medvode","","Slovenia","","matevz.srekl@gmail.com"
241,"loutraki Indoor Hall","Athinon Avenue","20300","Loutraki","","Greece","+30 210 6800046","info@badminton.gr"
242,"Estero Community Park","Recreation Center 9200 Corkscrew Palms Blvd","33928","Ft Myers","Florida","","",""
243,"CLUB DE REGATAS LIMA SEDE VILLA","","","LIMA","","Peru","",""
244,"Polideportivo Municipal ""Marques de Samaranch""","Paseo Imperial 18","28005","Madrid","","Spain","","internacional@badminton.es"
245,"Ginásio Hotel Bourbon","Avenida da Cataratas 2.500","","Iguazu","","Brazil","+55 19 3579 49 36",""
246,"Nimibutr Stadium","Rama I Road, Pathumwan","","Bangkok,","","Thailand","",""
247,"Kaunas Sports HAll","Perkuno al. 5","","Kaunas","","Lithuania","","ylo2013@badminton.lt"
248,"ISTORA GELORA BUNG KARNO STADIUM","Senayan","10270","Jakarta","","Indonesia","+62 21 5734070",""
249,"Richmond Pro","Unit 130 - 5800 Minoru Blvd.","V6X 2A9","Richmond","BC","Canada","604-231-0999","wcbf.vancouver@gmail.com"
250,"LUGOGO","KAMPALA","","KAMPALA","","Uganda","",""
251,"Singapore Indoor Stadium (SIS)","2 Stadium Walk","397691","Singapore","","Singapore","",""
252,"Reverchon Recreation Center","3505 Maple Avenue","75219","Dallas","Texas","U.S.A.","214-670-7721",""
253,"San Gabriel Valley Badminton Club II: Pomona","3410 Pomona Blvd","91768","Pomona","California","","(626) 307-4650",""
254,"Alumni Hall, Carelton University","Alumni Hall, Carelton University, Ottawa, Ontario","","Ottawa","Ontario","Canada","+1 613 569 2424",""
255,"JOHN BOWNE H.S. GYM","63-25 MAIN STREET","11367","FLUSHING","NY","U.S.A.","646-271-3228","INFO@NYCBADMINTON.COM"
256,"Bintang Badminton South Francisco","245 South Spruce Avenue Suite 170","94080","South San Francisco","CA","U.S.A.","",""
257,"Sports Hall ""Arena""","Generala Knysha Street 14A","","Gatchina","St-Petersburg region","Russia","","alex_russkich@hotmail.com"
258,"Polideportivo","Mar del Plata s/n","7203","Rauch","Buenos Aires","Argentina","",""
259,"Orange County Badminton Club,","1432 N. Main St.","92867","Orange","CA","U.S.A.","+1.714.639.6222",""
260,"Likas Indoor Stadium","Jalan Kompkes Sukan Likas","88400","Kota Kinabalu","Sabah","Malaysia","60320939220","admin@bam.org.my"
