"Id","Name","StreetAddress","PostalCode","Locality","Region","Country","PhoneNumber","Email"
51,"Shula's Athletic Club","15150 Bull Run Road","33014","Miami Lakes","Florida","U.S.A.","","play@miamipanam.com"
52,"Fonde Recreation Center","110 Sabine St.","77007","Houston","TX","U.S.A.","713-226-4466","houstonbadmintonclub@gmail.com"
53,"TAS Secondary School","1009 Armour Road North","","Peterborough","","Canada","",""
54,"Kerr Hall Gymnasium","","","Toronto","Ontario","Canada","",""
55,"Marblehead High School","","","Marblehead","MA","U.S.A.","",""
56,"Centennial Secondary School and Bayside Secondary School","160 Palmer Road Belleville 1247 Old Highway 2 between Belleville and Trenton","","Belleville","","Canada","",""
57,"Bellevue badminton club","13405 se 30th street Suite 1c","98005","Bellevue","Wa","U.S.A.","425-562-2950",""
59,"Broadway Armory","5917 N. Broadway St.","60660","Chicago","IL","U.S.A.","",""
61,"Shula's Hotel & Golf Club","6842 Main Street","","Miami Lakes","FL","U.S.A.","305-820-8100","adriana.torres@donshulahotel.com"
62,"TASS High School","1009 Armour Road North","K9J 7B1","Peterborough","","Canada","",""
63,"Ryerson Kerr Hall Gymnasium","379 Victoria Street","","Toronto","Ontario","Canada","",""
65,"Fraser Heights Secondary School","16060 108th Avenue","","Surrey","BC","Canada","",""
66,"California Badminton Academy","46049 Warm Springs Boulevard","94539","Fremont","CA","U.S.A.","",""
67,"Kingston Collegiate & Vocational Institute","235 Frontenac St","K7L 3S7","Kingston","Ontario","Canada","(613) 544-4811 ext. 349","saundersm@limestone.on.ca"
69,"JOHN BOWNE HS gym","63-25 Main Street","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
70,"University of Western Ontario","","","London","Ontario","Canada","",""
71,"Recreation & Athletic Centre","","","Toronto","ON","Canada","416-979-5096",""
72,"Parsippany PAL (Police Athletic League)","33 Baldwin Road","7054","Parsippany","NJ","U.S.A.","",""
73,"Affinity Badminton Club","403 Quarry Road","94070","San Carlos","CA","U.S.A.","",""
74,"Garrison Forest School","300 Garrison Forest Rd","21117","Owning Mills","MD","U.S.A.","",""
75,"MIT, Rockwell Cage","120 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
76,"ESPN/WIDE WORLD OF SPORT","","","Orlando","Florida","U.S.A.","",""
77,"Los Angeles Badminton Clib","10410 Valley Blvd","92731","El Monte","CA","U.S.A.","(626) 279-9919","info@labadmintonclub.com"
78,"Niwot High School","8989 Niwot Road","80503","Longmont","Colorado","U.S.A.","",""
79,"Bintang Badminton SSF","245 South Spruce Ave, Suite 700","","South San Francisco","CA","U.S.A.","650-624-0002",""
80,"Phoenixville YMCA","400 E. Pothouse Rd Phoenixville, PA 19460","","Phoenixville","PA","U.S.A.","",""
81,"CP Badminton Club (CPBC)","20-24 119th Street","11356","College Point","NY","U.S.A.","347-368-4124",""
82,"Boston Badminton Club","169 Flanders Rd","1581","Westborough","MA","U.S.A.","508-329-1710","info@bostonbadminton.com"
84,"Los Angeles Badminton Club (LABC)","10410 Valley Blvd.","91731","El Monte","CA","U.S.A.","626-279-9919",""
85,"George R. Brown Convention Center","1001 Avenida de las Americas","77010-6099","Houston","TX","U.S.A.","",""
86,"JOHN BOWNE HS GYM","63-25 Main Street","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
88,"Bay Badminton Center","1611 Adrian Road","94010","Burlingame","CA","U.S.A.","",""
89,"UMASS Boston","100 Morrissey Blvd.","2125","Boston","MA","U.S.A.","",""
90,"UGA - Ramsey Center","300 River Road","30602","Athens","GA","U.S.A.","",""
91,"Richmond Oval,","611 River Road, Richmond , BC, V7C 0A2","V7C 0A2","Richmond","British Columbia","Canada","778 296 - 1400","badminton@badminton.ca"
92,"Cheyenne Mountain High School","1200 Cresta Road","80906","Colorado Springs","Colorado","U.S.A.","",""
93,"TBD","","","Richmond","BC","Canada","",""
95,"Z Badminton Training Center","33540 Central Avenue","94587","Union City","CA","U.S.A.","510-487-9282","info@zbadmintontrainingcenter.com"
96,"The Jacob K. Javits Convention Center of New York","655 West 34th Street","10001","New York","NY","U.S.A.","",""
97,"UT Arlington - Maverick Center","500 W.Nedderman Drive","76019","Arlington","TX","U.S.A.","214-906-7340","paulnibu@gmail.com"
98,"CP Badminton Club","20-24 119th Street","11356","College Point","NY","U.S.A.","347-368-4124",""
99,"Hickory Grove Elementary School","6709 Pence Road","","Charlotte","NC","U.S.A.","",""
100,"Cambie Secondary School","4151 Jacombs Road","V6V 1N7","Richmond","BC","Canada","",""
101,"University of Rochester","Robert B. Goergen Athletic Center at the University of Rochester Library Road (off of Joseph C. Wilson Blvd)","14627","Rochester","New York","U.S.A.","",""
103,"University of Toronto","55 Harbord Street","","Toronto","Ontario","Canada","905-429-0901","fabcoach@rogers.com"
104,"Bellevue Badminton Club","13405 se 30th street","98005","Bellevue","Wa","U.S.A.","425-562-2950","bellvuebadminton@gmail.com"
106,"Fetzer Gym B, Student Recreation Center, UNC-Chapel Hill","101 Student Recreation Center Fetzer Gym B, Student Recreation Center","27599","Chapel Hill","NC","U.S.A.","410-258-8109","h.boy.cup@gmail.com"
107,"Confucius Institute","112 Swan Hall 60 Upper College Road","2881","Kinston","RI","U.S.A.","401-874-4792","uricimail@gmail.com"
109,"Boson Badminton Center","169 Flanders Road","","Westborough","MA","U.S.A.","(508) 329-1710","zhipingyou@hotmail.com"
110,"Bryn Mawr College - Schwartz Gym","New Gulph Rd & N. Roberts Rd","19010","Bryn Mawr","PA","U.S.A.","",""
111,"Moncton Coliseum Complex","377 Killam Drive, Unit 100","E1C 3T1","Moncton","NB","Canada","",""
114,"North Gym, University of Maryland","SPH (Building number 255)","","College Park","MD","U.S.A.","",""
115,"BBC","13405 SE 30th St Suite 1C","98005","Bellevue","WA","U.S.A.","425-562-2950","bellevuebadminton@hotmail.com"
116,"Bintang South San Francisco","245 South Spruce Ave","94080","South San Francisco","California","U.S.A.","",""
117,"Bintang Badminton Academy - South San Francisco","245 South Spruce Ave","94080","South San Francisco","Ca","U.S.A.","650-624-0002",""
119,"SGVBC Pomona","3410 Pomona Blvd","91768","Pomona","CA","U.S.A.","",""
120,"Kingston Collegiate & V. I.","235 Frontenac St.","K7L 3S7","Kingston","ON","Canada","(613) 544-4811","saundersm@limestone.on.ca"
121,"Seattle Badminton Club","10858, 117th Place NE","98033","Kirkland","WA","U.S.A.","425-889-5958","katherine@seattlebadminton.com"
124,"University of Rochester Georgen Gymnasium","Library Road (off of Joseph C. Wilson Blvd)","14627","Rochester","New York","U.S.A.","",""
126,"United Badminton Club","43901 Boscell Road","94538","Fremont","CA","U.S.A.","510-656-2582","unitedbadmintonclub@gmail.com"
127,"Emory University","","","Atlanta","GA","U.S.A.","",""
129,"Fetzer Gym B, University of North Carolina, Chapel Hill","Student Recreation Center 101 Student Recreation Center","27599","Chapel Hill","NC","U.S.A.","","southernopen2012@gmail.com"
133,"Coral Reef Senior High School","10101 S.W. 152 Street","","Miami","Florida","U.S.A.","",""
134,"Orange County Badminton CLub","1432 North Main Street","92867","Orange","CA","U.S.A.","",""
136,"University of Central Oklahoma- Wellness Center","100 N. University Drive","73034","Edmond","Oklahoma","U.S.A.","+1(405)474-9618","wldarren@gmail.com"
138,"Rockwell Cage, MIT","120 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
139,"University of Arizona Student Recreation Center","1400 E 6TH ST","85721","Tucson","AZ","U.S.A.","520-626-3396",""
141,"Bay Badminton Training Academy","1611 Adrian Rd.","94010","Burlingame","CA","U.S.A.","(650) 692 - 1611","info@baybadminton.com"
142,"Texins - Texas Instruments","13900 North Central Expressway","75243","Dallas","TX","U.S.A.","214.567.3777",""
144,"Badminton Center Court","3699 Industry Avenue","90712","Lakewood","California","U.S.A.","15624269299","tranining@thecentercourt.com"
147,"Boston Badminton Center","169 Flanders Road","","Westborough","MA","U.S.A.","(508) 329-1710","info@bostonbadminton.com"
148,"International Badminton Center","3775 Park Ave","8820","Edison","NJ","U.S.A.","917-626-8946","info@ibcusa.org"
149,"","4651 Britt Road Lucky Shoals Park","30093","Norcross","GA","U.S.A.","678.277.0860",""
150,"Richmond Olympic Oval","611 River Road, Richmond , BC","V7C 0A2","Richmond","","Canada","",""
151,"Ryerson University","379 Victoria Street","","Toronto","Ontario","Canada","","ryersonopen@gmail.com"
152,"Robinson S.S. Gym","5035 Sideburn Road","22032","Fairfax","VA","U.S.A.","",""
154,"Millennium Place","2000 Premier Way","T8H 2G4","Sherwood Park","AB","Canada","780.464-8244",""
156,"LBCC Main Gym","4901 East Carson Street","90808","Long Beach","CA","U.S.A.","",""
159,"Maverick Activities Center - UTA","500 W Nedderman St","76013","Arlington","Texas","U.S.A.","817-272-3277",""
165,"Bond Park Community Center","","","Cary","NC","U.S.A.","",""
166,"NJ Badminton Club","2 Changebridge Rd., East Bldg, Units JKL","7045","Montville","NJ","U.S.A.","201-572-4993","Wallace.Lee@njbadminton.com"
174,"Richmond Pro Badminton Centre","Unit 130 - 5800 Minoru Boulevard","","Richmond","British Columbia","Canada","",""
187,"Cambie Secondary","4151 Jacombs Road","","Richmond","BC","Canada","",""
189,"Goergen Athletic Center","Library Road","14627","Rochester","NY","U.S.A.","",""
191,"Shula´s Athletic Badminton Club","Miami Lakes","","Miami Lakes","","U.S.A.","1-954-324 7155","play@flabadminton.org"
200,"Badminton Center Court Inc.","3699 Industry Avenue","90712","Lakewood","California","U.S.A.","562-426-9299","training@thecentercourt.com"
211,"School of Public Health UMD","University of Maryland, College Park Maryland, 20742","","College Park","MD","U.S.A.","","badterpsminton@gmail.com"
215,"Los Angeles Badminton Club","10410 Valley Boulevard","91731","El Monte","CA","U.S.A.","",""
230,"University of Central Oklahoma - Wellness Center","100 N. University Drive","73034","Edmond","Oklahoma","U.S.A.","",""
231,"NERRC","7501 Oakleigh Rd","","Parkville, MD 21234","","U.S.A.","443-857-4744","shingles@jhu.edu"
236,"Badminton Center Court (BCC)","3699 Industry Avenue $25 for 1 event; $45 for 2 events $55 for 3 events","90712","Lakewood","California","U.S.A.","562-426-9299","andytran1011@yahoo.com"
237,"Kingston CVI","235 Frontenac St.","","Kingston","Ontario","Canada","(613) 544-4811 ext. 349","saundersm@limestone.on.ca"
249,"Richmond Pro","Unit 130 - 5800 Minoru Blvd.","V6X 2A9","Richmond","BC","Canada","604-231-0999","wcbf.vancouver@gmail.com"
252,"Reverchon Recreation Center","3505 Maple Avenue","75219","Dallas","Texas","U.S.A.","214-670-7721",""
254,"Alumni Hall, Carelton University","Alumni Hall, Carelton University, Ottawa, Ontario","","Ottawa","Ontario","Canada","+1 613 569 2424",""
255,"JOHN BOWNE H.S. GYM","63-25 MAIN STREET","11367","FLUSHING","NY","U.S.A.","646-271-3228","INFO@NYCBADMINTON.COM"
256,"Bintang Badminton South Francisco","245 South Spruce Avenue Suite 170","94080","South San Francisco","CA","U.S.A.","",""
259,"Orange County Badminton Club,","1432 N. Main St.","92867","Orange","CA","U.S.A.","+1.714.639.6222",""
262,"Valley Forge Baptist Temple","616 S. Trappe Rd (off Black Rock Rd)","19460","Collegeville","PA","U.S.A.","","vfb@usbadminton.net"
263,"Richmond Olympic Oval,","","","Richmond","British Columbia","Canada","",""
264,"Cleveland Convention Center","500 LAKESIDE AVENUE E","44114","Cleveland","Ohio","U.S.A.","",""
265,"City Auditorium","221 East Kiowa St","80903","Colorado Springs","Colorado","U.S.A.","",""
266,"Sports Gymnasium","55 Harbord Street","","Toronto","Ontario","Canada","",""
267,"California Badminton Academy (CBA)","46049 Warm Springs Blvd","94539","Fremont","CA","U.S.A.","",""
272,"Mavericks Activity Center - University of Texas @ Arlington","500 W. Nedderman Drive","76013","Arlington","Texas","U.S.A.","",""
273,"ClearOne Badminton Centre - Orlando","4141 North John Young Parkway","32804","Orlando","FL","U.S.A.","407-730-3596","orlando@clearonebadminton.com"
286,"Robert B. Goergen Athletic Center","","","Rochester","New York","U.S.A.","585-275-7643",""
288,"Bintang SSF","245 S Spruce Avevue, #700","94080","South San Francisco","CA","U.S.A.","650-624-0002","tournament@bintangbadminton.org"
289,"NC State University","Carmichael Gymnasium 2611 Cates Avenue","","Raleigh","North Carolina","U.S.A.","",""
290,"NJ Badminton Club (NJBC)","2 Changebridge Rd. Units JKL","7045","Montville","NJ","U.S.A.","201-572-4993","wallace.lee@njbadminton.com"
295,"Eastbay Badminton Association","4230 Hubbard Street","94608","Emeryville","CA","U.S.A.","(510)655-8989","ebaopen@gmail.com"
296,"Palmer Ridge High School","19255 Monument Hill Road","80132","Monument","CO","U.S.A.","",""
303,"Vancouver Racquets Club","4867 Ontario Street","","Vancouver","BC","Canada","604-992-1070","calvinholoboff@gmail.com"
305,"Ryerson Kerr Hall Upper Gym","379 Victoria Street","","Toronto","Ontario","Canada","","badmin@ryerson.ca"
308,"Kimberton Badminton Club","KImberton Waldorf School 410 W. 7 Stars Rd.","","Kimberton","PA","U.S.A.","",""
316,"Synergy Badminton Club","190 Constitutional Dr.","94025","Menlo Park","CA","U.S.A.","650.838.9318",""
318,"Thomas A Stewart Secondary School/Kenner Collegiate Vocational Institute","1009 Armour Road/633 Monaghan Road","","Peterborough","Ontario","Canada","",""
320,"School of Public Health","University of Maryland","20740","College Park","MD","U.S.A.","","feartheterpsminton@gmail.com"
321,"Midwest Badminton Club","2019 Corporate Lane Suite 103","60563","Naperville","Illinois","U.S.A.","630-364-2345","heatherp@mbadminton.com"
322,"U.C. Berkeley Recreational Sports Facility","2301 Bancroft Way","94720","Berkeley","CA","U.S.A.","",""
324,"Ryerson University, KHW gym","39 Gerrard St. E.","","Toronto","Ontario","Canada","","badmin@ryerson.ca"
328,"Shannon Pohl Badiminton Academy","Adversity Volleyball Center 710 Corporate Woods Pkwy.","60061","Vernon Hills","IL","U.S.A.","847-722-8857","badminton@shannonpohl.com"
331,"Schwartz Gym","","","Bryn Mawr","PA","U.S.A.","","macjrs14@usbadminton.net"
335,"University of Arizona Student Recereation Center","1400 E. 6th Street","8571","Tucson","AZ","U.S.A.","",""
347,"Egret Badminton Center, 1251 Basswood Rd, Schaumburg, IL 60173","1251 Basswood Rd.","60173","Schaumburg","IL","U.S.A.","847-285-5788",""
353,"Massachusetts Institute of Technology (MIT)","Rockwell Gymnasium 106 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
360,"Bintang Milpitas","746 S. Milpitas Blvd.","95035","Milpitas","CA","U.S.A.","(408) 934-9915",""
361,"Suffolk County Community College","Grant Campus Crooked Hill Road","","Brentwood","NY","U.S.A.","",""
365,"Champions FieldHouse","30 Southlawn Ct","","Rockville","Maryland","U.S.A.","",""
367,"Boston Badminton","169 Flanders Road","1581","Westborough","MA","U.S.A.","508-329-1710","info@bostonbadminton.com"
368,"UBC Thunderbird Arena - Vancouver Campus","2555 Wesbrook Mall","","Vancouver","British Columbia","Canada","",""
370,"Suffolk County Community College, Health Sports and Education Center","Grant Campus Crooked Hill road Brentwood,","NY 11717","New York","","U.S.A.","(631)-851-6700","entries@usopengpg.com"
371,"George Brown Convention Center","","","Houston","Texas","U.S.A.","",""
375,"MIDWEST BADMINTON CLUB Naperville","2019 Corporate Lane Suite 103","60563","Naperville","Illinois","U.S.A.","630-364-2345","heatherp@mbadminton.com"
376,"Northside Aztlan Community Center","112 E. Willow Street","80524","Fort Collins","CO","U.S.A.","970.221.6256","fcbc.public@gmail.com"
377,"SGVBC 2","","","Pomona","California","U.S.A.","951-313-7226",""
380,"Champion's Fieldhouse","30 Southlawn Court","20850","Rockville","Maryland","U.S.A.","",""
384,"Midwest Badminton Club - Naperville","2019 Corporate Lane Suite 103","60563","Naperville","Illinois","U.S.A.","630-364-2345","chicagoopen@mbadminton.com"
385,"Smashville","381 W. High St. In back of Sunoco","19464","Pottstown","PA","U.S.A.","610-999-5960","TD14@smashville.us"
388,"Badminton NC","9300 Globe Center Drive Suite 116","27560","Morrisville","NC","U.S.A.","9193161739","lisa@badmintonnc.com"
390,"ClearOne Orlando","4141 N John Young Parkway","32804","Orlando","Florida","U.S.A.","407-730-3596","orlando@clearonebadminton.com"
391,"Papillion La Vista High School","305 East Cary Street","68046","Papillion","NE","U.S.A.","402-571-6933","shuttle@inebraska.com"
392,"Las Vegas Badminton Club","3655 W Sunset Rd, STE D","89118","Las Vegas","Nevada","U.S.A.","",""
394,"Fonde Recreational Center","110 Sabine St.","77007","Houston","TX","U.S.A.","713 266 4466","tournament@houstonbadmintonclub.org"
396,"1251 Basswood Rd","","60173","Schaumburg","IL","U.S.A.","847-285-5788",""
403,"3655 W Sunset Rd","STE D","89118","Las Vegas","Nevada","U.S.A.","",""
409,"Bay Badminton Center Milpitas","1191 W. Montague Expressway","95035","Milpitas","CA","U.S.A.","",""
410,"UNC Fetzer Gym","101 Student Recreation Center CB #8610","27514","Chapel Hill","NC","U.S.A.","",""
412,"Bintang Badminton South San Francisco","245 S. Spruce Ave, Suite 700","94080","South San Francisco","CA","U.S.A.","650-624-0002","CCclawrence@aol.com"
413,"Shannon Pohl Badminton Academy","Adversity Volleyball Center 710 Corporate Woods Pkwy","60061","Vernon Hills","IL","U.S.A.","847-722-8857","badminton@shannonpohl.com"
415,"NVBC","44590 Guilford Dr, #100","","Ashburn","VA","U.S.A.","","teuben@gmail.com"
418,"Archie's Valley Forge Baptist Temple","616 S. Trappe Rd","19426","Collegeville","PA","U.S.A.","","pastates15@Smashville.us"
420,"Northern Virginia Badminton Club","44590 Guilford Dr Suite 100","20147","Ashburn","VA","U.S.A.","571-210-1527","nvbcinfo@novabadmintonclub.com"
422,"Meri Lou Murray Recreation Center","2960 Washtenaw Avenue","48104","Ann Arbor","Michigan","U.S.A.","(734) 971-6355",""
423,"Bay Badminton Center, Milpitas","1191 Montague Expwy","95035","Milpitas","CA","U.S.A.","",""
426,"Zornow Courts in the Goergen Athletic Center","500 Joseph C Wilson blvd","14627","Rochester","New York","U.S.A.","585-267-9914","bxia2@u.rochester.edu"
427,"Plano Badminton Center","4050 Premier Drive, Suite 250","75023","Plano","Texas","U.S.A.","214 509 8168","tournament@planobadmintoncenter.com"
428,"East Hills Moravian Church","1830 Butztown Road","18017","Bethlehem","PA","U.S.A.","",""
431,"Rockwell Gym","106 Vasser Street","2139","Cambridge","MA","U.S.A.","",""
432,"Southern Section","","","Long Beach Poly FINAL","","U.S.A.","",""
436,"ESTERO RECREATION CENTER","9200 Corkscrew Palms Blvd.","33928","Estero","FL","U.S.A.","",""
437,"Maugus Club,","40 Abbott Road","2481","Wellesley","MA","U.S.A.","781-235-8151",""
439,"Bintang Badminton Club, Milpitas","746 S. Milpitas Blvd.","95035","Milpitas","CA","U.S.A.","",""
441,"Lowell High School","11700 Vergennes St SE","49331","Lowell","MI","U.S.A.","",""
442,"ClearOne Badminton Centre","4141 N John Young Parkway","32804","Orlando","FL","U.S.A.","",""
444,"Minneapolis Convention Center","1301 2nd S Avenue Suite A","55403","Minneapolis","Minnesota","U.S.A.","",""
445,"Lucky Shoals Park","4651 Britt Road","","Norcross","GA","U.S.A.","",""
446,"MBBC","516 18th St","90266","Manhattan Beach","CA","U.S.A.","",""
451,"Northsize Aztlan Community Center","112 E. Willow St","80524","Fort Collins","CO","U.S.A.","",""
454,"Recreational Sports Facility","2301 Bancroft Way","94720","Berkeley","CA","U.S.A.","510-642-7796",""
457,"Leonard Recretion Center","6324 Ballinger Rd","27410","Greensboro","NC","U.S.A.","(336) 297 4889",""
460,"LVBC","7750 S. Dean Martin Drive Suite 406","89118","Las Vegas","NV","U.S.A.","",""
465,"University of Rochester, Goergen Athletic Center, Zornow Courts","500 Joseph C Wilson Blvd","14627","Rochester","New York","U.S.A.","",""
467,"Carmichael Gymnasium","2611 Cate Avenue","27695","Raleigh","NC","U.S.A.","",""
473,"UCLA - Student Activities Center","220 Westwood Plaza","90095","Los Angeles","CA","U.S.A.","",""
476,"Charlotte Badminton Club","345 Hawthorne Ln","28204","Charlotte","NC","U.S.A.","7042365448","weimin.zhang.wv@gmail.com"
480,"Mari Lou Murray Rec Center","2960 Washtenaw Ave","48107","Ann Arbor","Michigan","U.S.A.","7349716355",""
486,"University of Wisconsin Nantatorium","2000 Observatory Dr","53715","Madison","Wisconsin","U.S.A.","2488367876",""
487,"Egret Badminton Club","1251 Basswood Road","","Schaumburg","IL","U.S.A.","",""
493,"Bintang Badminton Academy","245 South Spruce Avenue","94080","South San Francisco","CA","U.S.A.","650-624-0002","tournament@bintangbadminton.org"
501,"Egret Badminton Trainig Center","1251 Basswood Rd","60173","Schaumburg","Illinois","U.S.A.","630/219-1818",""
504,"Anteater Recreation Center","680 California Ave","92617","Irvine","CA","U.S.A.","(949) 824-5346",""
508,"SPX 107AB","1 Washington Sq","95192","San Jose","CA","U.S.A.","",""
516,"University of Wisconsin Natatorium","2000 Observatory Dr","53706","Madison","Wisconsin","U.S.A.","2488367876",""
518,"Denver Athletic Club","1325 Glenarm Place","80204","Denver","CO","U.S.A.","",""
522,"Houston Badminton Center","10550 W. Airport Blvd.","77477","Stafford","TX","U.S.A.","7133643803","tournament@houstonbadmintonclub.org"
524,"MIT","Rockwell Gymnasium 106 Vassar Street","2139","Cambridge","MA","U.S.A.","",""
527,"Maugus Club","40 Abbot Road","","Wellesley","MA","U.S.A.","",""
530,"Palm Beach County Convention Center","650 Okeechobee Blvd","33401","West Palm Beach","FL","U.S.A.","",""
533,"Bintang Badmitnon","746 S Milpitas Blvd","95035","Milpitas","California","U.S.A.","",""
537,"Cleveland Convention Center Hall A","300 Lakeside Ave E","44114","Cleveland","Ohio","U.S.A.","216.363.1444","KMaloney@clevelandsports.org"
539,"Egret Badminton Center","1251 Basswood Rd.","60173","Schaumburg","IL","U.S.A.","847-285-5788",""
541,"JOHN BOWNE HIGH SCHOOL GYM","63-25 Main Street","11367","Flushing","NY","U.S.A.","646-271-3228","info@nycbadminton.com"
542,"ClearOne Orlando Badminton Centre","4141 N. John Young Parkway","32804","Orlando","Florida","U.S.A.","(407) 730-3596",""
543,"Markin MacPhail Centre","WinSport, Winter Sport Institute","T3B 5R5","Calgary","","Canada","",""
545,"Harbour Pointe Badminton Club","3616 South Road, Building D","98275","Mulkiteo","WA","U.S.A.","",""
547,"San Jose State University Spartan Complex, SPX 107AB","1 Washington Sq","95192","San Jose","CA","U.S.A.","",""
550,"Round Rock Sports Center","2400 Chisolm Trail","78681","Round Rock","TX","U.S.A.","","compete@greateraustinbadminton.com"
558,"Northside Aztlan Center","112 Willow St.","80524","Fort Collins","CO","U.S.A.","970-221-6655",""
561,"Estero Community Park Recreation Center","9200 Corkscrew Palms Blvd","33928","Estero","Florida","U.S.A.","",""
563,"Leonard Recreation Center","6324 Ballinger Rd","27410","Greensboro","NC","U.S.A.","336 297-4889",""
579,"Long Island Sports Center","22 Lumber Road","","Roslyn","New York","U.S.A.","516-621-1402","longislandsportscenter@gmail.com"
582,"Westminster Rec Center","10455 N Sheridan Blvd","80020","Westminster","CO","U.S.A.","",""
586,"Hawthorne Recreation Center","345 Hawthorne Lane","","Charlotte","NC","U.S.A.","",""
590,"UBC","","","Fremont","CA","U.S.A.","",""
591,"NYBC","132-70 34th Ave","11354","Flushing","NY","U.S.A.","6462713228",""
593,"SPH GYM 2101","4200 Valley Drive","20742","College Park","Maryland","U.S.A.","",""
594,"EGRET","1251 Basswood Rd","","Schaumburg","IL","U.S.A.","",""
597,"S.D. Badminton Center Court","10806 Willow Court Suite 1","92127","San Diego","California","U.S.A.","619-864-3581","rathsy@yahoo.com"
599,"Academy of the Holy Family","St. Michael Center Gymnasium School Hill Road","","Baltic","Connecticut","U.S.A.","",""
604,"ClearOne Sports Center","4141 North John Young Parkway","32804","Orlando","FL","U.S.A.","",""
610,"Synergy Badminton Academy","190 Constitution Dr","94025","Menlo Park","CA","U.S.A.","",""
613,"Newark Memorial","","","Newark","CA","U.S.A.","",""
614,"San Diego Badminton Center Court","10860 Willow Crt Suite 1","92127","San Diego","California","U.S.A.","858-673-1711","rathsy@yahoo.com"
617,"San Jose State Spartan Complex","One Washington Sq","","San Jose","CA","U.S.A.","",""
620,"W.P. Wagner High School","6310 Wagner Road","","Edmonton","AB","Canada","","tournament@edba.org"
